CD45
Ly6C
TCR
Ly6G
CD19
CD169
CD106
CD3
CD1632
CD8a
CD90
F480
CD11c
Ter119
CD11b
IgD
CD27
CD5
B220
CD71
CD31
CD4
IgM
CD79b
ERTR7
CD35
CD2135
CD44
NKp46
